item_id,item_text_clean,dataset,extra,question,n_options,options_json
I find myself tuning out when family members talk about the way things used to be.,I find myself tuning out when family members talk about the way things used to be.,ExperimentFactory,,I find myself tuning out when family members talk about the way things used to be.,5,"[{""value"": ""1"", ""label"": ""Very characteristic""}, {""value"": ""2"", ""label"": ""Characteristic""}, {""value"": ""3"", ""label"": ""Neutral""}, {""value"": ""4"", ""label"": ""Uncharacteristic""}, {""value"": ""5"", ""label"": ""Very uncharacteristic""}]"
I finish what I start.,I finish what I start.,ExperimentFactory,,I finish what I start.,4,"[{""value"": ""1"", ""label"": ""Agree Strongly""}, {""value"": ""2"", ""label"": ""Agree Some""}, {""value"": ""3"", ""label"": ""Disagree Some""}, {""value"": ""4"", ""label"": ""Disagree Strongly""}]"
I forget a person's name almost as soon as I've been told it for the first time.,I forget a person's name almost as soon as I've been told it for the first time.,ExperimentFactory,,I forget a person's name almost as soon as I've been told it for the first time.,7,"[{""value"": ""1"", ""label"": ""Almost always""}, {""value"": ""2"", ""label"": ""Very frequently""}, {""value"": ""3"", ""label"": ""Somewhat frequently""}, {""value"": ""4"", ""label"": ""Somewhat infrequently""}, {""value"": ""5"", ""label"": ""Very infrequently""}, {""value"": ""6"", ""label"": ""Almost never""}, {""value"": ""7"", ""label"": ""Never""}]"
I frequently buy things without thinking about whether or not I can really afford them.,I frequently buy things without thinking about whether or not I can really afford them.,ExperimentFactory,,I frequently buy things without thinking about whether or not I can really afford them.,2,"[{""value"": ""1"", ""label"": ""False""}, {""value"": ""2"", ""label"": ""True""}]"
I generally like to see things through to the end.,I generally like to see things through to the end.,ExperimentFactory,,I generally like to see things through to the end.,4,"[{""value"": ""1"", ""label"": ""Agree Strongly""}, {""value"": ""2"", ""label"": ""Agree Some""}, {""value"": ""3"", ""label"": ""Disagree Some""}, {""value"": ""4"", ""label"": ""Disagree Strongly""}]"
I generally seek new and exciting experiences and sensations.,I generally seek new and exciting experiences and sensations.,ExperimentFactory,,I generally seek new and exciting experiences and sensations.,4,"[{""value"": ""1"", ""label"": ""Disagree Strongly""}, {""value"": ""2"", ""label"": ""Disagree Some""}, {""value"": ""3"", ""label"": ""Agree Some""}, {""value"": ""4"", ""label"": ""Agree Strongly""}]"
I get easily bored when solving thought problems.,I get easily bored when solving thought problems.,ExperimentFactory,,I get easily bored when solving thought problems.,4,"[{""value"": ""1"", ""label"": ""Rarely/Never""}, {""value"": ""2"", ""label"": ""Occasionally""}, {""value"": ""3"", ""label"": ""Often""}, {""value"": ""4"", ""label"": ""Almost Always/Always""}]"
I get nostalgic about my childhood.,I get nostalgic about my childhood.,ExperimentFactory,,I get nostalgic about my childhood.,5,"[{""value"": ""1"", ""label"": ""Very uncharacteristic""}, {""value"": ""2"", ""label"": ""Uncharacteristic""}, {""value"": ""3"", ""label"": ""Neutral""}, {""value"": ""4"", ""label"": ""Characteristic""}, {""value"": ""5"", ""label"": ""Very characteristic""}]"
I get so focused on the goal I want to achieve that I lose touch with what I am doing right now to get there.,I get so focused on the goal I want to achieve that I lose touch with what I am doing right now to get there.,ExperimentFactory,,I get so focused on the goal I want to achieve that I lose touch with what I am doing right now to get there.,6,"[{""value"": ""1"", ""label"": ""almost always""}, {""value"": ""2"", ""label"": ""very frequently""}, {""value"": ""3"", ""label"": ""somewhat frequently""}, {""value"": ""4"", ""label"": ""somewhat infrequently""}, {""value"": ""5"", ""label"": ""very infrequently""}, {""value"": ""6"", ""label"": ""almost never""}]"
I give up quickly.,I give up quickly.,ExperimentFactory,,I give up quickly.,5,"[{""value"": ""1"", ""label"": ""Strongly agree""}, {""value"": ""2"", ""label"": ""Somewhat agree""}, {""value"": ""3"", ""label"": ""Neutral""}, {""value"": ""4"", ""label"": ""Somewhat disagree""}, {""value"": ""5"", ""label"": ""Strongly disagree""}]"
I go out of my way to get things I want.,I go out of my way to get things I want.,ExperimentFactory,,I go out of my way to get things I want.,4,"[{""value"": ""1"", ""label"": ""Very false for me""}, {""value"": ""2"", ""label"": ""Somewhat false for me""}, {""value"": ""3"", ""label"": ""Somewhat true for me""}, {""value"": ""4"", ""label"": ""Very true for me""}]"
I have 'racing' thoughts.,I have 'racing' thoughts.,ExperimentFactory,,I have 'racing' thoughts.,4,"[{""value"": ""1"", ""label"": ""Rarely/Never""}, {""value"": ""2"", ""label"": ""Occasionally""}, {""value"": ""3"", ""label"": ""Often""}, {""value"": ""4"", ""label"": ""Almost Always/Always""}]"
I have a good idea of what I'm going to do.,I have a good idea of what I'm going to do.,ExperimentFactory,,I have a good idea of what I'm going to do.,2,"[{""value"": ""1"", ""label"": ""False""}, {""value"": ""2"", ""label"": ""True""}]"
I have a hard time setting goals for myself.,I have a hard time setting goals for myself.,ExperimentFactory,,I have a hard time setting goals for myself.,5,"[{""value"": ""1"", ""label"": ""Strongly agree""}, {""value"": ""2"", ""label"": ""Somewhat agree""}, {""value"": ""3"", ""label"": ""Neutral""}, {""value"": ""4"", ""label"": ""Somewhat disagree""}, {""value"": ""5"", ""label"": ""Strongly disagree""}]"
I have a lot of willpower.,I have a lot of willpower.,ExperimentFactory,,I have a lot of willpower.,5,"[{""value"": ""1"", ""label"": ""Strongly disagree""}, {""value"": ""2"", ""label"": ""Somewhat disagree""}, {""value"": ""3"", ""label"": ""Neutral""}, {""value"": ""4"", ""label"": ""Somewhat agree""}, {""value"": ""5"", ""label"": ""Strongly agree""}]"
I have a reserved and cautious attitude toward life.,I have a reserved and cautious attitude toward life.,ExperimentFactory,,I have a reserved and cautious attitude toward life.,4,"[{""value"": ""1"", ""label"": ""Agree Strongly""}, {""value"": ""2"", ""label"": ""Agree Some""}, {""value"": ""3"", ""label"": ""Disagree Some""}, {""value"": ""4"", ""label"": ""Disagree Strongly""}]"
I have often missed out on opportunities because I couldn't make up my mind fast enough.,I have often missed out on opportunities because I couldn't make up my mind fast enough.,ExperimentFactory,,I have often missed out on opportunities because I couldn't make up my mind fast enough.,2,"[{""value"": ""1"", ""label"": ""True""}, {""value"": ""2"", ""label"": ""False""}]"
"I have personal standards, and try to live up to them.","I have personal standards, and try to live up to them.",ExperimentFactory,,"I have personal standards, and try to live up to them.",5,"[{""value"": ""1"", ""label"": ""Strongly disagree""}, {""value"": ""2"", ""label"": ""Somewhat disagree""}, {""value"": ""3"", ""label"": ""Neutral""}, {""value"": ""4"", ""label"": ""Somewhat agree""}, {""value"": ""5"", ""label"": ""Strongly agree""}]"
I have the sense that time is running out.,I have the sense that time is running out.,ExperimentFactory,,I have the sense that time is running out.,7,"[{""value"": ""1"", ""label"": ""Very untrue""}, {""value"": ""2"", ""label"": ""Moderately untrue""}, {""value"": ""3"", ""label"": ""Slightly untrue""}, {""value"": ""4"", ""label"": ""Neither true nor untrue""}, {""value"": ""5"", ""label"": ""Slightly true""}, {""value"": ""6"", ""label"": ""Moderately true""}, {""value"": ""7"", ""label"": ""Very true""}]"
I have trouble controlling my impulses.,I have trouble controlling my impulses.,ExperimentFactory,,I have trouble controlling my impulses.,4,"[{""value"": ""1"", ""label"": ""Disagree Strongly""}, {""value"": ""2"", ""label"": ""Disagree Some""}, {""value"": ""3"", ""label"": ""Agree Some""}, {""value"": ""4"", ""label"": ""Agree Strongly""}]"
I have trouble following through with things once I've made up my mind to do something.,I have trouble following through with things once I've made up my mind to do something.,ExperimentFactory,,I have trouble following through with things once I've made up my mind to do something.,5,"[{""value"": ""1"", ""label"": ""Strongly agree""}, {""value"": ""2"", ""label"": ""Somewhat agree""}, {""value"": ""3"", ""label"": ""Neutral""}, {""value"": ""4"", ""label"": ""Somewhat disagree""}, {""value"": ""5"", ""label"": ""Strongly disagree""}]"
I have trouble making plans to help me reach my goals.,I have trouble making plans to help me reach my goals.,ExperimentFactory,,I have trouble making plans to help me reach my goals.,5,"[{""value"": ""1"", ""label"": ""Strongly agree""}, {""value"": ""2"", ""label"": ""Somewhat agree""}, {""value"": ""3"", ""label"": ""Neutral""}, {""value"": ""4"", ""label"": ""Somewhat disagree""}, {""value"": ""5"", ""label"": ""Strongly disagree""}]"
I have trouble making up my mind about things.,I have trouble making up my mind about things.,ExperimentFactory,,I have trouble making up my mind about things.,5,"[{""value"": ""1"", ""label"": ""Strongly agree""}, {""value"": ""2"", ""label"": ""Somewhat agree""}, {""value"": ""3"", ""label"": ""Neutral""}, {""value"": ""4"", ""label"": ""Somewhat disagree""}, {""value"": ""5"", ""label"": ""Strongly disagree""}]"
"I have trouble resisting my cravings (for food, cigarettes, etc.).","I have trouble resisting my cravings (for food, cigarettes, etc.).",ExperimentFactory,,"I have trouble resisting my cravings (for food, cigarettes, etc.).",4,"[{""value"": ""1"", ""label"": ""Disagree Strongly""}, {""value"": ""2"", ""label"": ""Disagree Some""}, {""value"": ""3"", ""label"": ""Agree Some""}, {""value"": ""4"", ""label"": ""Agree Strongly""}]"
I have trouble thinking of the right words to express how I feel about things.,I have trouble thinking of the right words to express how I feel about things.,ExperimentFactory,,I have trouble thinking of the right words to express how I feel about things.,5,"[{""value"": ""1"", ""label"": ""very often or always true""}, {""value"": ""2"", ""label"": ""often true""}, {""value"": ""3"", ""label"": ""sometimes true""}, {""value"": ""4"", ""label"": ""rarely true""}, {""value"": ""5"", ""label"": ""never or very rarely true""}]"
I have very few fears compared to my friends.,I have very few fears compared to my friends.,ExperimentFactory,,I have very few fears compared to my friends.,4,"[{""value"": ""1"", ""label"": ""Very true for me""}, {""value"": ""2"", ""label"": ""Somewhat true for me""}, {""value"": ""3"", ""label"": ""Somewhat false for me""}, {""value"": ""4"", ""label"": ""Very false for me""}]"
I keep close track of money.,I keep close track of money.,ExperimentFactory,,I keep close track of money.,2,"[{""value"": ""1"", ""label"": ""False""}, {""value"": ""2"", ""label"": ""True""}]"
I keep my emotions to myself.,I keep my emotions to myself.,ExperimentFactory,,I keep my emotions to myself.,7,"[{""value"": ""1"", ""label"": ""Strongly disagree""}, {""value"": ""2"", ""label"": ""Mostly disagree""}, {""value"": ""3"", ""label"": ""Somewhat disagree""}, {""value"": ""4"", ""label"": ""Neither agree or disagree""}, {""value"": ""5"", ""label"": ""Somewhat agree""}, {""value"": ""6"", ""label"": ""Mostly agree""}, {""value"": ""7"", ""label"": ""Strongly agree""}]"
"I keep working at difficult, uninteresting tasks if they will help me get ahead.","I keep working at difficult, uninteresting tasks if they will help me get ahead.",ExperimentFactory,,"I keep working at difficult, uninteresting tasks if they will help me get ahead.",5,"[{""value"": ""1"", ""label"": ""Very uncharacteristic""}, {""value"": ""2"", ""label"": ""Uncharacteristic""}, {""value"": ""3"", ""label"": ""Neutral""}, {""value"": ""4"", ""label"": ""Characteristic""}, {""value"": ""5"", ""label"": ""Very characteristic""}]"
I know how I want to be.,I know how I want to be.,ExperimentFactory,,I know how I want to be.,5,"[{""value"": ""1"", ""label"": ""Strongly disagree""}, {""value"": ""2"", ""label"": ""Somewhat disagree""}, {""value"": ""3"", ""label"": ""Neutral""}, {""value"": ""4"", ""label"": ""Somewhat agree""}, {""value"": ""5"", ""label"": ""Strongly agree""}]"
I know how to proceed.,I know how to proceed.,ExperimentFactory,,I know how to proceed.,2,"[{""value"": ""1"", ""label"": ""False""}, {""value"": ""2"", ""label"": ""True""}]"
I learn from my mistakes.,I learn from my mistakes.,ExperimentFactory,,I learn from my mistakes.,5,"[{""value"": ""1"", ""label"": ""Strongly disagree""}, {""value"": ""2"", ""label"": ""Somewhat disagree""}, {""value"": ""3"", ""label"": ""Neutral""}, {""value"": ""4"", ""label"": ""Somewhat agree""}, {""value"": ""5"", ""label"": ""Strongly agree""}]"
I like family rituals and traditions that are regularly repeated.,I like family rituals and traditions that are regularly repeated.,ExperimentFactory,,I like family rituals and traditions that are regularly repeated.,5,"[{""value"": ""1"", ""label"": ""Very uncharacteristic""}, {""value"": ""2"", ""label"": ""Uncharacteristic""}, {""value"": ""3"", ""label"": ""Neutral""}, {""value"": ""4"", ""label"": ""Characteristic""}, {""value"": ""5"", ""label"": ""Very characteristic""}]"
I like my close relationships to be passionate.,I like my close relationships to be passionate.,ExperimentFactory,,I like my close relationships to be passionate.,5,"[{""value"": ""1"", ""label"": ""Very uncharacteristic""}, {""value"": ""2"", ""label"": ""Uncharacteristic""}, {""value"": ""3"", ""label"": ""Neutral""}, {""value"": ""4"", ""label"": ""Characteristic""}, {""value"": ""5"", ""label"": ""Very characteristic""}]"
I like puzzles.,I like puzzles.,ExperimentFactory,,I like puzzles.,4,"[{""value"": ""1"", ""label"": ""Almost Always/Always""}, {""value"": ""2"", ""label"": ""Often""}, {""value"": ""3"", ""label"": ""Occasionally""}, {""value"": ""4"", ""label"": ""Rarely/Never""}]"
I like to stop and think things over before I do them.,I like to stop and think things over before I do them.,ExperimentFactory,,I like to stop and think things over before I do them.,4,"[{""value"": ""1"", ""label"": ""Agree Strongly""}, {""value"": ""2"", ""label"": ""Agree Some""}, {""value"": ""3"", ""label"": ""Disagree Some""}, {""value"": ""4"", ""label"": ""Disagree Strongly""}]"
"I like to take part in really fast-paced conversations, where you don't have much time to think before you speak.","I like to take part in really fast-paced conversations, where you don't have much time to think before you speak.",ExperimentFactory,,"I like to take part in really fast-paced conversations, where you don't have much time to think before you speak.",2,"[{""value"": ""1"", ""label"": ""False""}, {""value"": ""2"", ""label"": ""True""}]"
I like to think about complex problems.,I like to think about complex problems.,ExperimentFactory,,I like to think about complex problems.,4,"[{""value"": ""1"", ""label"": ""Almost Always/Always""}, {""value"": ""2"", ""label"": ""Often""}, {""value"": ""3"", ""label"": ""Occasionally""}, {""value"": ""4"", ""label"": ""Rarely/Never""}]"
I make decisions on the spur of the moment.,I make decisions on the spur of the moment.,ExperimentFactory,,I make decisions on the spur of the moment.,5,"[{""value"": ""1"", ""label"": ""Very uncharacteristic""}, {""value"": ""2"", ""label"": ""Uncharacteristic""}, {""value"": ""3"", ""label"": ""Neutral""}, {""value"": ""4"", ""label"": ""Characteristic""}, {""value"": ""5"", ""label"": ""Very characteristic""}]"
I make judgments about whether my thoughts are good or bad.,I make judgments about whether my thoughts are good or bad.,ExperimentFactory,,I make judgments about whether my thoughts are good or bad.,5,"[{""value"": ""1"", ""label"": ""very often or always true""}, {""value"": ""2"", ""label"": ""often true""}, {""value"": ""3"", ""label"": ""sometimes true""}, {""value"": ""4"", ""label"": ""rarely true""}, {""value"": ""5"", ""label"": ""never or very rarely true""}]"
I make lists of things to do.,I make lists of things to do.,ExperimentFactory,,I make lists of things to do.,5,"[{""value"": ""1"", ""label"": ""Very uncharacteristic""}, {""value"": ""2"", ""label"": ""Uncharacteristic""}, {""value"": ""3"", ""label"": ""Neutral""}, {""value"": ""4"", ""label"": ""Characteristic""}, {""value"": ""5"", ""label"": ""Very characteristic""}]"
I make-up my mind quickly.,I make-up my mind quickly.,ExperimentFactory,,I make-up my mind quickly.,4,"[{""value"": ""1"", ""label"": ""Rarely/Never""}, {""value"": ""2"", ""label"": ""Occasionally""}, {""value"": ""3"", ""label"": ""Often""}, {""value"": ""4"", ""label"": ""Almost Always/Always""}]"
I meet my obligations to friends and authorities on time.,I meet my obligations to friends and authorities on time.,ExperimentFactory,,I meet my obligations to friends and authorities on time.,5,"[{""value"": ""1"", ""label"": ""Very uncharacteristic""}, {""value"": ""2"", ""label"": ""Uncharacteristic""}, {""value"": ""3"", ""label"": ""Neutral""}, {""value"": ""4"", ""label"": ""Characteristic""}, {""value"": ""5"", ""label"": ""Very characteristic""}]"
"I notice how foods and drinks affect my thoughts, bodily sensations, and emotions.","I notice how foods and drinks affect my thoughts, bodily sensations, and emotions.",ExperimentFactory,,"I notice how foods and drinks affect my thoughts, bodily sensations, and emotions.",5,"[{""value"": ""1"", ""label"": ""never or very rarely true""}, {""value"": ""2"", ""label"": ""rarely true""}, {""value"": ""3"", ""label"": ""sometimes true""}, {""value"": ""4"", ""label"": ""often true""}, {""value"": ""5"", ""label"": ""very often or always true""}]"
I notice the smells and aromas of things.,I notice the smells and aromas of things.,ExperimentFactory,,I notice the smells and aromas of things.,5,"[{""value"": ""1"", ""label"": ""never or very rarely true""}, {""value"": ""2"", ""label"": ""rarely true""}, {""value"": ""3"", ""label"": ""sometimes true""}, {""value"": ""4"", ""label"": ""often true""}, {""value"": ""5"", ""label"": ""very often or always true""}]"
"I notice visual elements in art or nature, such as colors, shapes, textures, or patterns of light and shadow.","I notice visual elements in art or nature, such as colors, shapes, textures, or patterns of light and shadow.",ExperimentFactory,,"I notice visual elements in art or nature, such as colors, shapes, textures, or patterns of light and shadow.",5,"[{""value"": ""1"", ""label"": ""never or very rarely true""}, {""value"": ""2"", ""label"": ""rarely true""}, {""value"": ""3"", ""label"": ""sometimes true""}, {""value"": ""4"", ""label"": ""often true""}, {""value"": ""5"", ""label"": ""very often or always true""}]"
I often act on the spur of the moment.,I often act on the spur of the moment.,ExperimentFactory,,I often act on the spur of the moment.,4,"[{""value"": ""1"", ""label"": ""Very false for me""}, {""value"": ""2"", ""label"": ""Somewhat false for me""}, {""value"": ""3"", ""label"": ""Somewhat true for me""}, {""value"": ""4"", ""label"": ""Very true for me""}]"
I often follow my heart more than my head.,I often follow my heart more than my head.,ExperimentFactory,,I often follow my heart more than my head.,5,"[{""value"": ""1"", ""label"": ""Very uncharacteristic""}, {""value"": ""2"", ""label"": ""Uncharacteristic""}, {""value"": ""3"", ""label"": ""Neutral""}, {""value"": ""4"", ""label"": ""Characteristic""}, {""value"": ""5"", ""label"": ""Very characteristic""}]"
I often get involved in things I later wish I could get out of.,I often get involved in things I later wish I could get out of.,ExperimentFactory,,I often get involved in things I later wish I could get out of.,4,"[{""value"": ""1"", ""label"": ""Disagree Strongly""}, {""value"": ""2"", ""label"": ""Disagree Some""}, {""value"": ""3"", ""label"": ""Agree Some""}, {""value"": ""4"", ""label"": ""Agree Strongly""}]"
I often have extraneous thoughts when thinking.,I often have extraneous thoughts when thinking.,ExperimentFactory,,I often have extraneous thoughts when thinking.,4,"[{""value"": ""1"", ""label"": ""Rarely/Never""}, {""value"": ""2"", ""label"": ""Occasionally""}, {""value"": ""3"", ""label"": ""Often""}, {""value"": ""4"", ""label"": ""Almost Always/Always""}]"
I often make matters worse because I act without thinking when I am upset.,I often make matters worse because I act without thinking when I am upset.,ExperimentFactory,,I often make matters worse because I act without thinking when I am upset.,4,"[{""value"": ""1"", ""label"": ""Disagree Strongly""}, {""value"": ""2"", ""label"": ""Disagree Some""}, {""value"": ""3"", ""label"": ""Agree Some""}, {""value"": ""4"", ""label"": ""Agree Strongly""}]"
I often make up my mind without taking the time to consider the situation from all angles.,I often make up my mind without taking the time to consider the situation from all angles.,ExperimentFactory,,I often make up my mind without taking the time to consider the situation from all angles.,2,"[{""value"": ""1"", ""label"": ""False""}, {""value"": ""2"", ""label"": ""True""}]"
I often say and do things without considering the consequences.,I often say and do things without considering the consequences.,ExperimentFactory,,I often say and do things without considering the consequences.,2,"[{""value"": ""1"", ""label"": ""False""}, {""value"": ""2"", ""label"": ""True""}]"
I often start projects.,I often start projects.,ExperimentFactory,,I often start projects.,2,"[{""value"": ""1"", ""label"": ""True""}, {""value"": ""2"", ""label"": ""False""}]"
I often think of what I should have done differently in my life.,I often think of what I should have done differently in my life.,ExperimentFactory,,I often think of what I should have done differently in my life.,5,"[{""value"": ""1"", ""label"": ""Very uncharacteristic""}, {""value"": ""2"", ""label"": ""Uncharacteristic""}, {""value"": ""3"", ""label"": ""Neutral""}, {""value"": ""4"", ""label"": ""Characteristic""}, {""value"": ""5"", ""label"": ""Very characteristic""}]"
I often wonder why people act the way they do.,I often wonder why people act the way they do.,ExperimentFactory,,I often wonder why people act the way they do.,4,"[{""value"": ""1"", ""label"": ""Very false for me""}, {""value"": ""2"", ""label"": ""Somewhat false for me""}, {""value"": ""3"", ""label"": ""Somewhat true for me""}, {""value"": ""4"", ""label"": ""Very true for me""}]"
I organize my work.,I organize my work.,ExperimentFactory,,I organize my work.,2,"[{""value"": ""1"", ""label"": ""False""}, {""value"": ""2"", ""label"": ""True""}]"
I pay attention to how my emotions affect my thoughts and behavior.,I pay attention to how my emotions affect my thoughts and behavior.,ExperimentFactory,,I pay attention to how my emotions affect my thoughts and behavior.,5,"[{""value"": ""1"", ""label"": ""never or very rarely true""}, {""value"": ""2"", ""label"": ""rarely true""}, {""value"": ""3"", ""label"": ""sometimes true""}, {""value"": ""4"", ""label"": ""often true""}, {""value"": ""5"", ""label"": ""very often or always true""}]"
"I pay attention to sensations, such as the wind in my hair or sun on my face.","I pay attention to sensations, such as the wind in my hair or sun on my face.",ExperimentFactory,,"I pay attention to sensations, such as the wind in my hair or sun on my face.",5,"[{""value"": ""1"", ""label"": ""never or very rarely true""}, {""value"": ""2"", ""label"": ""rarely true""}, {""value"": ""3"", ""label"": ""sometimes true""}, {""value"": ""4"", ""label"": ""often true""}, {""value"": ""5"", ""label"": ""very often or always true""}]"
"I pay attention to sounds, such as clocks ticking, birds chirping, or cars passing.","I pay attention to sounds, such as clocks ticking, birds chirping, or cars passing.",ExperimentFactory,,"I pay attention to sounds, such as clocks ticking, birds chirping, or cars passing.",5,"[{""value"": ""1"", ""label"": ""never or very rarely true""}, {""value"": ""2"", ""label"": ""rarely true""}, {""value"": ""3"", ""label"": ""sometimes true""}, {""value"": ""4"", ""label"": ""often true""}, {""value"": ""5"", ""label"": ""very often or always true""}]"
I perceive my feelings and emotions without having to react to them.,I perceive my feelings and emotions without having to react to them.,ExperimentFactory,,I perceive my feelings and emotions without having to react to them.,5,"[{""value"": ""1"", ""label"": ""never or very rarely true""}, {""value"": ""2"", ""label"": ""rarely true""}, {""value"": ""3"", ""label"": ""sometimes true""}, {""value"": ""4"", ""label"": ""often true""}, {""value"": ""5"", ""label"": ""very often or always true""}]"
I plan for job security.,I plan for job security.,ExperimentFactory,,I plan for job security.,4,"[{""value"": ""1"", ""label"": ""Almost Always/Always""}, {""value"": ""2"", ""label"": ""Often""}, {""value"": ""3"", ""label"": ""Occasionally""}, {""value"": ""4"", ""label"": ""Rarely/Never""}]"
I plan tasks carefully.,I plan tasks carefully.,ExperimentFactory,,I plan tasks carefully.,4,"[{""value"": ""1"", ""label"": ""Almost Always/Always""}, {""value"": ""2"", ""label"": ""Often""}, {""value"": ""3"", ""label"": ""Occasionally""}, {""value"": ""4"", ""label"": ""Rarely/Never""}]"
I plan trips well ahead of time.,I plan trips well ahead of time.,ExperimentFactory,,I plan trips well ahead of time.,4,"[{""value"": ""1"", ""label"": ""Almost Always/Always""}, {""value"": ""2"", ""label"": ""Often""}, {""value"": ""3"", ""label"": ""Occasionally""}, {""value"": ""4"", ""label"": ""Rarely/Never""}]"
I play things by ear.,I play things by ear.,ExperimentFactory,,I play things by ear.,2,"[{""value"": ""1"", ""label"": ""True""}, {""value"": ""2"", ""label"": ""False""}]"
I prefer friends who are spontaneous rather than predictable.,I prefer friends who are spontaneous rather than predictable.,ExperimentFactory,,I prefer friends who are spontaneous rather than predictable.,5,"[{""value"": ""1"", ""label"": ""Very uncharacteristic""}, {""value"": ""2"", ""label"": ""Uncharacteristic""}, {""value"": ""3"", ""label"": ""Neutral""}, {""value"": ""4"", ""label"": ""Characteristic""}, {""value"": ""5"", ""label"": ""Very characteristic""}]"
I put off making decisions.,I put off making decisions.,ExperimentFactory,,I put off making decisions.,5,"[{""value"": ""1"", ""label"": ""Strongly agree""}, {""value"": ""2"", ""label"": ""Somewhat agree""}, {""value"": ""3"", ""label"": ""Neutral""}, {""value"": ""4"", ""label"": ""Somewhat disagree""}, {""value"": ""5"", ""label"": ""Strongly disagree""}]"
I quite enjoy taking risks.,I quite enjoy taking risks.,ExperimentFactory,,I quite enjoy taking risks.,4,"[{""value"": ""1"", ""label"": ""Disagree Strongly""}, {""value"": ""2"", ""label"": ""Disagree Some""}, {""value"": ""3"", ""label"": ""Agree Some""}, {""value"": ""4"", ""label"": ""Agree Strongly""}]"
I rarely get involved in projects without first considering the potential problems.,I rarely get involved in projects without first considering the potential problems.,ExperimentFactory,,I rarely get involved in projects without first considering the potential problems.,2,"[{""value"": ""1"", ""label"": ""True""}, {""value"": ""2"", ""label"": ""False""}]"
I save regularly.,I save regularly.,ExperimentFactory,,I save regularly.,4,"[{""value"": ""1"", ""label"": ""Almost Always/Always""}, {""value"": ""2"", ""label"": ""Often""}, {""value"": ""3"", ""label"": ""Occasionally""}, {""value"": ""4"", ""label"": ""Rarely/Never""}]"
I say things without thinking.,I say things without thinking.,ExperimentFactory,,I say things without thinking.,4,"[{""value"": ""1"", ""label"": ""Rarely/Never""}, {""value"": ""2"", ""label"": ""Occasionally""}, {""value"": ""3"", ""label"": ""Often""}, {""value"": ""4"", ""label"": ""Almost Always/Always""}]"
I set goals for myself and keep track of my progress.,I set goals for myself and keep track of my progress.,ExperimentFactory,,I set goals for myself and keep track of my progress.,5,"[{""value"": ""1"", ""label"": ""Strongly disagree""}, {""value"": ""2"", ""label"": ""Somewhat disagree""}, {""value"": ""3"", ""label"": ""Neutral""}, {""value"": ""4"", ""label"": ""Somewhat agree""}, {""value"": ""5"", ""label"": ""Strongly agree""}]"
I snack without being aware that I'm eating.,I snack without being aware that I'm eating.,ExperimentFactory,,I snack without being aware that I'm eating.,6,"[{""value"": ""1"", ""label"": ""almost always""}, {""value"": ""2"", ""label"": ""very frequently""}, {""value"": ""3"", ""label"": ""somewhat frequently""}, {""value"": ""4"", ""label"": ""somewhat infrequently""}, {""value"": ""5"", ""label"": ""very infrequently""}, {""value"": ""6"", ""label"": ""almost never""}]"
I sometimes like doing things that are a bit frightening.,I sometimes like doing things that are a bit frightening.,ExperimentFactory,,I sometimes like doing things that are a bit frightening.,6,"[{""value"": ""1"", ""label"": ""almost always""}, {""value"": ""2"", ""label"": ""very frequently""}, {""value"": ""3"", ""label"": ""somewhat frequently""}, {""value"": ""4"", ""label"": ""somewhat infrequently""}, {""value"": ""5"", ""label"": ""very infrequently""}, {""value"": ""6"", ""label"": ""almost never""}]"
I spend or charge more than I earn.,I spend or charge more than I earn.,ExperimentFactory,,I spend or charge more than I earn.,4,"[{""value"": ""1"", ""label"": ""Rarely/Never""}, {""value"": ""2"", ""label"": ""Occasionally""}, {""value"": ""3"", ""label"": ""Often""}, {""value"": ""4"", ""label"": ""Almost Always/Always""}]"
I stop one activity before completing it.,I stop one activity before completing it.,ExperimentFactory,,I stop one activity before completing it.,2,"[{""value"": ""1"", ""label"": ""True""}, {""value"": ""2"", ""label"": ""False""}]"
I take each day as it is rather than try to plan it out.,I take each day as it is rather than try to plan it out.,ExperimentFactory,,I take each day as it is rather than try to plan it out.,5,"[{""value"": ""1"", ""label"": ""Very characteristic""}, {""value"": ""2"", ""label"": ""Characteristic""}, {""value"": ""3"", ""label"": ""Neutral""}, {""value"": ""4"", ""label"": ""Uncharacteristic""}, {""value"": ""5"", ""label"": ""Very uncharacteristic""}]"
I take risks to put excitement in my life.,I take risks to put excitement in my life.,ExperimentFactory,,I take risks to put excitement in my life.,5,"[{""value"": ""1"", ""label"": ""Very uncharacteristic""}, {""value"": ""2"", ""label"": ""Uncharacteristic""}, {""value"": ""3"", ""label"": ""Neutral""}, {""value"": ""4"", ""label"": ""Characteristic""}, {""value"": ""5"", ""label"": ""Very characteristic""}]"
I tell myself I shouldn't be feeling the way I'm feeling.,I tell myself I shouldn't be feeling the way I'm feeling.,ExperimentFactory,,I tell myself I shouldn't be feeling the way I'm feeling.,5,"[{""value"": ""1"", ""label"": ""very often or always true""}, {""value"": ""2"", ""label"": ""often true""}, {""value"": ""3"", ""label"": ""sometimes true""}, {""value"": ""4"", ""label"": ""rarely true""}, {""value"": ""5"", ""label"": ""never or very rarely true""}]"
